Frans;Nederlands
la maison;het huis
le chat;de kat
manger;eten
un prof;een leraar
une gomme;een gom
un cahier;een schrift
pour;voor
oui;ja
tu es;jij bent
un livre;een boek
un garçon;een jongen
le néerlandais;het Nederlands
un mot;een woord
un bureau;een bureau
une prof;een lerares
moi;ik
au revoir;tot ziens
merci;dank u / dank je / dankjewel
Comment ça va?;Hoe gaat het?
le français;het Frans
une armoire;een kast
Monsieur (Leo);Meester (Leo) / Meester
un crayon;een potlood
un stylo;een pen
je ne comprends pas;ik begrijp het niet
Madame (Leen);juf (Leen) / juf
un élève;een leerling
Je suis;ik ben
ça va bien;het gaat goed
toi;jij
un tableau;een schoolbord
une page;een pagina
je suis;ik ben
non;nee
c'est quoi?;wat is het?
un banc;een bank
Bonjour;goedendag / hallo
une classe;een klas
une chaise;een stoel
une feuille;een blad / een blad papier
une classe;een klas
une élève;een leerlinge
une fille;een meisje
une école;een school
c'est;het is
